Project ID	Assay type	Project title	Project description	Public accession	Journal	Total runs	Processed runs	Related phenotypes	Related phenotype IDs
PRJNA524816	16S	Studies of gut microbial diversity in cervical cancer patients	We defined gut microbiota in cervical cancer patients by 16S rRNA sequencing. It is the first overview of gut microbiota identifying CCa patients from controls.	30904962	AMB Express	13	13	Health;Uterine Cervical Neoplasms	D002583;D006262
PRJNA884863	16S	16S rDNA-seq of BC+N feces	feces 16S sequencing samples from bladder cancer patients and healthy controls	NA	NA	0	72	Health;Urinary Bladder Neoplasms	D001749;D006262
PRJNA796956	16S	Alterations of Gut Microbiome and Metabolite Profiles Associated with Anabatic Lipid Dysmetabolism in Thyroid Cancer	Our research has discovered the core gut microbiota and metabolites that affect the occurrence and development of thyroid cancer. Due to the slow progress of thyroid cancer, we can further extend or even reverse the course of thyroid cancer development by adjusting the intestinal microecology.	35721748	Front Endocrinol (Lausanne)	41	41	Health;Thyroid Neoplasms	D006262;D013964
PRJNA477766	16S	Alterations of the Gut Microbiota and Metabolites Profiles in Thyroid Carcinoma Patients	the microbial community diversities of gut from TC and HC individuals	30565661	International journal of cancer	67	70	Health;Thyroid Neoplasms	D006262;D013964
PRJNA605091	16S	Multiple bacteria in stool	Low Bifidobacterium abundance in intestinal microbiome is related to Helicobacter pylori infection and severe gastric diseases	33717022	Frontiers in Microbiology	5	5	Stomach Neoplasms	D013274
PRJNA817689	16S	gastric cancer(GC) gut metagenome Raw sequence reads	to explore the relationship between GC patients' gut microbiome with TNM stage	36083304	Applied Microbiology and Biotechnology	0	71	Health;Stomach Neoplasms	D006262;D013274
PRJNA493153	WGS	Gut Microbiome Sequencing of Head and Neck Cancer Patients	Infection with human papilloma virus (HPV) type 16, is a risk factor for head and neck squamous cell carcinomas (HNSCC). In this study, we report on a pilot-sized study of the fecal microbiome of head and neck cancer patients before injection of therapeutic vaccine.	31626891	Journal of microbiological methods	10	20	Squamous Cell Carcinoma of Head and Neck	D000077195
PRJEB48780	16S	Analysis of the Gut Microbiota: An Emerging Source of Biomarkers for Immune Checkpoint Blockade Therapy in Non-Small Cell Lung Cancer	Background: The human gut harbors around 1013-1014 microorganisms, collectively referred to as gut microbiota. Recent studies have found that the gut microbiota may have an impact on the interaction between immune regulation and anti-cancer immunotherapies. Methods: In order to characterize the diversity and composition of commensal microbiota and its relationship with response to immune checkpoint blockade (ICB), 16S ribosomal DNA (rDNA) sequencing was performed on 69 stool samples from advanced non-small cell lung cancer (NSCLC) patients prior to treatment with ICB. Results: The use of antibiotics and ICB-related skin toxicity were significantly associated with reduced gut microbiota diversity. However, antibiotics (ATB) usage was not related to low ICB efficacy. Phascolarctobacterium was enriched in patients with clinical benefit and correlated with prolonged progression-free survival, whereas Dialister was more represented in patients with progressive disease, and its higher relative abundance was associated with reduced progression-free survival and overall survival, with independent prognostic value in multivariate analysis. Conclusions: Our results corroborate the relation between the baseline gut microbiota composition and ICB clinical outcomes in advanced NSCLC patients, and provide novel potential predictive and prognostic biomarkers for immunotherapy in NSCLC.	34063829	Cancers	69	69	Carcinoma, Non-Small-Cell Lung	D002289
PRJNA605896	16S	Gut microbiome predicts a response after preoperative chemoradiation in rectal cancer patients	From the fecal microbiome using samples obtained before preoperative CCRT, differences in microbial community composition and functions were observed between CR and non-CR patients in rectal cancer. This files were demultiplexed fastq files from cutadapt 2.6 with Python 3.6.7 embedded in QIIME2(2019.10) package.	32315676	International Journal of Radiation Oncology* Biology* Physics	45	45	Rectal Neoplasms	D012004
PRJNA818503	16S	Microbial diversity of human gut	NCRT influences the gut microbiome composition and the metabolites associated with it.	36505493	Frontiers in Immunology	14	14	Rectal Neoplasms	D012004
